"Date","BIT Difficulty","BIT Hash Rate","BIT Market Price USD","BIT USD Exchange Trade Volume"
"2009",0.987233606249642,4.47586885226583e-06,0,0
"2010",1690.91321560335,0.0155112833636457,0.0633158246575342,836.734809006315
"2011",867884.014572959,6.36518243968998,6.04218940117753,187856.895636511
"2012",2125246.06029908,15.7019500124912,8.47412475409836,298104.977516615
"2013",166886101.256072,1488.08946795446,189.955717479452,7258808.37866588
"2014",18424730866.2868,141694.751846133,525.599890410959,6901782.77401155
"2015",54435310096.6834,405804.814904851,272.216082191781,11487882.4348434
"2016",204720474533.506,1522236.54463807,566.385083674863,19867841.8068036
"2017",828985623427.179,6325167.96605717,3975.16823916103,373216964.931291
"2018",4970320545967.22,36394798.5688129,7571.6785354914,607306393.480673
"2019",8994912023450.16,66338706.0092431,7362.71320319633,178873712.729588
"2020",16589561472465.6,119559354.683754,11057.7241530055,189145596.268735
"2021",19789690360642.1,140094812.581309,44566.4538489209,626774501.41702
